operating_period_id,line_factory_id,product_id,order_id,shift_id,machine_state_id,operator_id,work_order_status_id,timestamp,planned_qty,produced_qty,scrap_qty,cycle_time_s,oee,availability,performance,quality,maintenance_type_id,maintenance_due_date,vibration_mm_s,temperature_c,pressure_bar,energy_kwh
468,0,0,1091,2,1,15,3,2025-11-04T21:00:00.000+01:00,50,42,2,34.35,0.978,1.0,1.05,0.932,1,2025-11-06,2.198,37.03,6.59,12.746
469,2,0,1137,2,1,11,0,2025-11-04T21:00:00.000+01:00,60,61,2,27.52,0.904,1.0,0.936,0.966,0,2025-11-11,1.437,39.51,6.43,12.06
470,1,2,910,2,1,4,3,2025-11-04T21:00:00.000+01:00,43,36,2,38.69,0.79,1.0,0.844,0.936,3,2025-11-11,1.814,35.46,6.47,12.403
471,0,0,766,2,1,0,3,2025-11-04T21:15:00.000+01:00,65,57,1,34.52,1.0,1.0,1.061,0.968,1,2025-11-07,1.333,36.37,6.77,10.883
472,2,1,177,2,1,13,3,2025-11-04T21:15:00.000+01:00,50,48,3,32.96,0.658,1.0,0.711,0.926,1,2025-11-11,1.304,38.29,6.77,11.605
473,1,2,297,2,3,11,2,2025-11-04T21:15:00.000+01:00,60,6,0,37.89,0.311,0.318,1.031,0.948,1,2025-11-05,0.794,32.92,5.46,4.231
474,0,2,1824,2,1,18,0,2025-11-04T21:30:00.000+01:00,58,58,2,43.92,1.0,1.0,1.072,0.959,0,2025-11-07,1.579,38.02,6.34,11.715
475,2,2,1209,2,2,11,1,2025-11-04T21:30:00.000+01:00,60,18,0,33.64,0.679,0.811,0.885,0.946,3,2025-11-11,0.764,34.8,4.3,8.706
476,1,0,1899,2,1,0,3,2025-11-04T21:30:00.000+01:00,70,69,3,40.25,0.981,1.0,1.033,0.95,2,2025-11-07,2.391,37.86,6.48,11.635
477,0,1,157,2,1,15,3,2025-11-04T21:45:00.000+01:00,45,44,1,26.26,0.85,1.0,0.89,0.955,1,2025-11-06,2.916,38.16,6.74,12.454
478,2,2,1059,2,1,6,3,2025-11-04T21:45:00.000+01:00,47,42,1,38.42,0.956,1.0,0.981,0.974,2,2025-11-11,1.984,38.28,6.68,11.5
479,1,0,493,2,1,8,3,2025-11-04T21:45:00.000+01:00,75,70,3,34.09,0.74,1.0,0.784,0.945,1,2025-11-06,1.351,38.0,6.52,10.809
480,0,1,956,0,1,19,0,2025-11-04T22:00:00.000+01:00,47,47,2,25.23,0.719,1.0,0.752,0.955,0,2025-11-05,1.843,35.73,6.27,11.542
481,2,2,1773,0,1,13,3,2025-11-04T22:00:00.000+01:00,42,41,1,35.86,0.78,1.0,0.804,0.971,2,2025-11-05,1.683,38.42,6.18,12.21
482,1,0,1424,0,4,12,3,2025-11-04T22:00:00.000+01:00,48,14,0,44.24,0.681,0.886,0.808,0.951,1,2025-11-05,0.117,31.76,5.46,5.834
483,0,2,739,0,1,15,0,2025-11-04T22:15:00.000+01:00,51,52,3,28.11,0.806,1.0,0.857,0.941,1,2025-11-06,1.625,40.35,6.44,11.976
484,2,2,845,0,4,8,3,2025-11-04T22:15:00.000+01:00,53,7,0,44.56,0.825,0.946,0.922,0.946,1,2025-11-06,0.489,31.9,4.98,5.137
485,1,1,876,0,1,5,3,2025-11-04T22:15:00.000+01:00,68,62,2,27.97,0.833,1.0,0.866,0.963,1,2025-11-05,1.474,40.01,6.26,11.96
486,0,0,333,0,1,9,0,2025-11-04T22:30:00.000+01:00,47,47,2,36.14,0.953,1.0,1.015,0.939,1,2025-11-11,1.839,40.86,6.25,12.099
487,2,1,1341,0,2,5,1,2025-11-04T22:30:00.000+01:00,69,24,1,27.31,0.947,0.93,1.084,0.939,1,2025-11-06,1.263,30.92,5.21,7.772
488,1,2,225,0,1,19,0,2025-11-04T22:30:00.000+01:00,48,49,4,33.96,0.73,1.0,0.81,0.901,2,2025-11-05,1.681,35.94,6.05,11.744
489,0,2,265,0,1,17,3,2025-11-04T22:45:00.000+01:00,44,39,1,41.09,0.732,1.0,0.755,0.97,1,2025-11-06,2.567,36.25,6.55,12.662
490,2,0,1681,0,1,12,3,2025-11-04T22:45:00.000+01:00,50,45,3,42.22,0.699,1.0,0.762,0.917,0,2025-11-05,1.671,38.56,7.0,11.884
491,1,1,388,0,1,0,3,2025-11-04T22:45:00.000+01:00,41,36,1,37.09,0.778,1.0,0.811,0.96,1,2025-11-07,1.547,35.33,6.79,12.87
492,0,2,1960,0,2,12,1,2025-11-04T23:00:00.000+01:00,74,29,2,33.5,0.353,0.479,0.806,0.915,0,2025-11-04,0.496,30.18,4.58,8.058
493,2,2,1900,0,1,11,3,2025-11-04T23:00:00.000+01:00,53,49,2,34.7,1.0,1.0,1.09,0.941,1,2025-11-04,1.589,37.9,6.64,10.82
494,1,2,728,0,1,3,3,2025-11-04T23:00:00.000+01:00,41,36,3,43.09,0.999,1.0,1.1,0.908,1,2025-11-07,2.373,37.98,6.42,13.169
495,0,0,378,0,1,6,3,2025-11-04T23:15:00.000+01:00,73,62,1,34.19,0.816,1.0,0.84,0.972,2,2025-11-11,2.473,37.66,6.68,12.306
496,2,1,897,0,1,10,3,2025-11-04T23:15:00.000+01:00,79,75,4,26.28,0.673,1.0,0.713,0.944,2,2025-11-11,2.421,39.05,6.85,11.42
497,1,1,691,0,1,16,3,2025-11-04T23:15:00.000+01:00,63,57,2,32.72,1.0,1.0,1.093,0.949,1,2025-11-06,2.618,36.53,7.01,11.739
498,0,2,1359,0,1,19,3,2025-11-04T23:30:00.000+01:00,75,65,2,28.47,1.0,1.0,1.083,0.955,1,2025-11-05,1.55,36.32,6.28,12.851
499,2,2,1892,0,1,19,3,2025-11-04T23:30:00.000+01:00,65,56,3,25.74,0.861,1.0,0.914,0.942,3,2025-11-05,1.873,38.17,6.27,12.492
500,1,2,289,0,1,19,3,2025-11-04T23:30:00.000+01:00,65,60,2,27.27,0.809,1.0,0.837,0.967,1,2025-11-06,2.067,37.93,7.2,13.115
501,0,2,1397,0,1,14,3,2025-11-04T23:45:00.000+01:00,57,53,1,38.73,1.0,1.0,1.037,0.976,3,2025-11-06,1.873,39.71,6.42,11.796
502,2,2,651,0,1,0,3,2025-11-04T23:45:00.000+01:00,59,54,0,44.86,0.748,1.0,0.751,0.997,1,2025-11-07,2.281,39.8,6.39,10.974
503,1,2,1445,0,1,18,3,2025-11-04T23:45:00.000+01:00,51,43,2,40.97,0.959,1.0,1.013,0.947,1,2025-11-04,1.285,40.25,6.66,11.646
504,0,2,59,0,3,9,2,2025-11-05T00:00:00.000+01:00,57,5,0,27.88,0.755,0.898,0.876,0.959,1,2025-11-06,0.654,30.57,5.75,4.396
505,2,2,1524,0,1,7,3,2025-11-05T00:00:00.000+01:00,50,46,3,27.68,0.892,1.0,0.969,0.921,1,2025-11-07,1.731,39.71,6.42,10.81
506,1,0,1480,0,1,0,0,2025-11-05T00:00:00.000+01:00,72,72,4,26.99,0.759,1.0,0.809,0.938,1,2025-11-05,2.16,39.88,6.5,12.796
507,0,2,1796,0,4,11,3,2025-11-05T00:15:00.000+01:00,41,4,0,38.75,0.269,0.373,0.759,0.95,0,2025-11-19,1.292,27.6,5.13,5.421
508,2,0,550,0,2,4,1,2025-11-05T00:15:00.000+01:00,64,15,1,44.6,0.408,0.556,0.791,0.928,1,2025-11-08,1.841,35.27,5.51,7.474
509,1,1,877,0,3,1,2,2025-11-05T00:15:00.000+01:00,54,0,0,29.3,0.861,0.836,1.095,0.94,3,2025-11-06,0.584,30.83,4.99,4.046
510,0,0,464,0,1,4,3,2025-11-05T00:30:00.000+01:00,62,55,3,41.07,0.851,1.0,0.913,0.932,0,2025-11-08,1.126,40.5,6.94,11.248
511,2,2,1210,0,1,19,3,2025-11-05T00:30:00.000+01:00,72,65,3,37.97,0.9,1.0,0.955,0.942,0,2025-11-12,1.937,40.68,6.67,12.128
512,1,2,37,0,1,3,3,2025-11-05T00:30:00.000+01:00,62,53,3,30.02,0.917,1.0,0.976,0.94,1,2025-11-07,2.995,33.97,6.91,12.845
513,0,2,133,0,1,13,3,2025-11-05T00:45:00.000+01:00,56,48,1,25.78,0.929,1.0,0.964,0.964,0,2025-11-07,2.435,37.75,6.49,11.454
514,2,2,846,0,1,5,3,2025-11-05T00:45:00.000+01:00,46,39,0,25.43,0.889,1.0,0.908,0.979,2,2025-11-08,2.261,36.36,7.01,11.74
515,1,2,1694,0,1,17,3,2025-11-05T00:45:00.000+01:00,41,40,4,43.55,0.739,1.0,0.823,0.898,0,2025-11-19,1.453,34.39,6.22,11.068
516,0,2,898,0,1,14,3,2025-11-05T01:00:00.000+01:00,63,58,0,35.1,0.712,1.0,0.712,1.0,0,2025-11-07,2.19,38.79,6.59,11.116
517,2,2,1184,0,1,14,3,2025-11-05T01:00:00.000+01:00,72,66,0,31.59,0.755,1.0,0.755,1.0,1,2025-11-05,2.796,37.27,6.14,11.758
518,1,0,999,0,1,19,0,2025-11-05T01:00:00.000+01:00,62,62,0,28.77,0.827,1.0,0.84,0.985,1,2025-11-07,2.545,38.16,6.41,13.033
519,0,0,1507,0,1,6,3,2025-11-05T01:15:00.000+01:00,42,40,0,36.01,0.8,1.0,0.8,1.0,2,2025-11-19,1.925,40.6,6.8,11.755
520,2,0,1797,0,1,19,3,2025-11-05T01:15:00.000+01:00,56,55,0,36.04,0.959,1.0,0.964,0.995,1,2025-11-07,1.849,38.31,7.21,11.575
521,1,1,767,0,1,5,3,2025-11-05T01:15:00.000+01:00,42,39,1,37.82,0.801,1.0,0.824,0.972,0,2025-11-06,1.582,39.09,6.3,12.375
522,0,2,1172,0,1,13,3,2025-11-05T01:30:00.000+01:00,79,74,3,30.32,0.836,1.0,0.875,0.954,0,2025-11-08,2.527,34.48,6.68,10.873
523,2,0,1728,0,1,7,3,2025-11-05T01:30:00.000+01:00,52,48,1,39.42,0.97,1.0,0.991,0.979,1,2025-11-19,2.728,37.55,6.72,10.8
524,1,0,857,0,1,13,3,2025-11-05T01:30:00.000+01:00,42,37,1,36.1,0.969,1.0,1.018,0.951,1,2025-11-07,2.683,38.41,6.88,10.809
525,0,2,808,0,1,11,3,2025-11-05T01:45:00.000+01:00,74,67,2,33.97,0.773,1.0,0.802,0.964,1,2025-11-06,1.854,40.58,6.57,11.089
526,2,0,86,0,1,5,3,2025-11-05T01:45:00.000+01:00,59,56,1,39.08,0.881,1.0,0.897,0.982,1,2025-11-06,1.743,40.5,5.61,12.996
527,1,2,38,0,1,14,3,2025-11-05T01:45:00.000+01:00,68,62,1,34.08,0.879,1.0,0.903,0.973,1,2025-11-05,2.197,36.97,6.84,12.45
528,0,2,1250,0,1,13,0,2025-11-05T02:00:00.000+01:00,65,65,0,42.87,0.893,1.0,0.905,0.987,1,2025-11-08,2.405,39.74,6.63,12.781
529,2,0,1688,0,1,12,3,2025-11-05T02:00:00.000+01:00,52,49,2,41.03,1.0,1.0,1.077,0.948,0,2025-11-12,1.305,38.18,6.49,11.036
530,1,0,424,0,0,1,1,2025-11-05T02:00:00.000+01:00,51,5,0,32.36,0.478,0.661,0.74,0.976,1,2025-11-12,0.692,29.42,5.64,6.366
531,0,1,1374,0,1,4,3,2025-11-05T02:15:00.000+01:00,57,49,0,35.6,0.742,1.0,0.755,0.983,0,2025-11-08,2.22,34.98,6.26,11.686
532,2,2,334,0,1,8,0,2025-11-05T02:15:00.000+01:00,42,44,2,27.25,0.796,1.0,0.839,0.949,2,2025-11-06,2.183,38.79,6.66,12.903
533,1,0,1211,0,1,18,3,2025-11-05T02:15:00.000+01:00,64,56,2,40.83,0.894,1.0,0.933,0.959,2,2025-11-07,1.577,34.33,6.74,12.674
534,0,2,1585,0,3,18,2,2025-11-05T02:30:00.000+01:00,66,7,0,41.26,0.594,0.732,0.836,0.97,0,2025-11-05,1.439,32.26,5.69,3.656
535,2,2,1634,0,1,16,3,2025-11-05T02:30:00.000+01:00,43,36,0,31.02,0.754,1.0,0.767,0.983,0,2025-11-06,1.377,40.06,6.56,11.777
536,1,2,1596,0,1,16,3,2025-11-05T02:30:00.000+01:00,46,39,0,35.35,1.0,1.0,1.07,0.99,3,2025-11-19,2.601,39.26,5.97,12.118
537,0,2,1375,0,2,15,1,2025-11-05T02:45:00.000+01:00,59,23,1,30.93,0.579,0.772,0.792,0.948,1,2025-11-06,1.415,30.16,4.95,7.201
538,2,2,1030,0,0,13,1,2025-11-05T02:45:00.000+01:00,75,5,0,32.6,0.797,0.866,0.965,0.953,2,2025-11-12,1.892,31.41,5.17,5.81
539,1,1,1825,0,1,4,3,2025-11-05T02:45:00.000+01:00,62,61,3,26.56,0.801,1.0,0.849,0.943,3,2025-11-05,2.188,34.65,6.22,12.453
540,0,2,768,0,1,16,3,2025-11-05T03:00:00.000+01:00,46,43,0,28.39,1.0,1.0,1.033,0.988,1,2025-11-05,2.158,39.88,6.09,12.172
541,2,0,551,0,1,15,0,2025-11-05T03:00:00.000+01:00,51,53,2,27.84,0.787,1.0,0.822,0.958,1,2025-11-08,1.692,37.0,6.29,12.774
542,1,2,425,0,1,9,0,2025-11-05T03:00:00.000+01:00,52,53,1,26.89,1.0,1.0,1.096,0.971,1,2025-11-07,1.839,38.44,6.8,13.078
543,0,0,1826,0,1,6,3,2025-11-05T03:15:00.000+01:00,42,37,2,32.88,0.816,1.0,0.867,0.941,2,2025-11-07,2.506,36.62,6.2,11.882
544,2,2,453,0,1,19,0,2025-11-05T03:15:00.000+01:00,69,69,0,39.2,0.697,1.0,0.704,0.99,2,2025-11-07,2.49,38.99,6.49,11.854
545,1,2,26,0,1,11,3,2025-11-05T03:15:00.000+01:00,55,54,1,33.11,0.81,1.0,0.835,0.97,0,2025-11-05,1.544,36.67,6.42,10.834
546,0,2,1446,0,1,7,3,2025-11-05T03:30:00.000+01:00,49,43,2,26.29,0.68,1.0,0.722,0.941,1,2025-11-12,2.356,40.05,6.51,11.25
547,2,2,1716,0,2,4,1,2025-11-05T03:30:00.000+01:00,54,17,0,29.93,0.623,0.887,0.742,0.947,0,2025-11-19,1.523,30.35,5.33,8.772
548,1,2,740,0,1,14,3,2025-11-05T03:30:00.000+01:00,52,50,1,44.13,1.0,1.0,1.037,0.966,3,2025-11-06,1.899,40.67,6.65,12.452
549,0,1,454,0,1,17,3,2025-11-05T03:45:00.000+01:00,74,70,1,40.65,0.891,1.0,0.912,0.976,1,2025-11-06,1.638,37.22,6.31,12.216
550,2,2,335,0,1,14,0,2025-11-05T03:45:00.000+01:00,78,79,0,25.79,0.816,1.0,0.822,0.992,0,2025-11-07,2.282,38.79,6.79,12.587
551,1,2,1524,0,4,3,3,2025-11-05T03:45:00.000+01:00,41,11,0,26.49,0.633,0.894,0.708,1.0,1,2025-11-06,0.792,31.45,4.49,6.009
552,0,2,641,0,1,13,0,2025-11-05T04:00:00.000+01:00,42,42,2,35.64,0.952,1.0,1.024,0.93,1,2025-11-12,1.63,33.73,6.71,12.674
553,2,2,1918,0,1,11,3,2025-11-05T04:00:00.000+01:00,49,43,2,34.58,0.67,1.0,0.707,0.948,1,2025-11-12,1.74,35.62,6.56,12.561
554,1,0,105,0,3,7,2,2025-11-05T04:00:00.000+01:00,44,5,0,27.77,0.678,0.786,0.888,0.971,1,2025-11-08,1.782,30.94,5.39,4.226
555,0,2,1398,0,1,7,0,2025-11-05T04:15:00.000+01:00,77,78,1,31.14,0.702,1.0,0.714,0.983,3,2025-11-07,1.88,39.77,6.27,13.039
556,2,2,279,0,1,18,3,2025-11-05T04:15:00.000+01:00,49,42,2,38.14,0.942,1.0,0.993,0.949,3,2025-11-07,2.359,38.35,6.25,11.653
557,1,2,125,0,1,18,3,2025-11-05T04:15:00.000+01:00,46,44,0,38.91,1.0,1.0,1.075,0.991,0,2025-11-06,2.06,40.65,6.43,12.102
558,0,2,1531,0,1,19,3,2025-11-05T04:30:00.000+01:00,71,64,6,33.29,0.971,1.0,1.072,0.906,0,2025-11-08,1.887,39.04,6.4,12.684
559,2,0,68,0,3,6,2,2025-11-05T04:30:00.000+01:00,52,4,0,38.94,0.574,0.687,0.884,0.944,0,2025-11-12,0.639,30.55,5.59,3.892
560,1,2,1974,0,1,19,3,2025-11-05T04:30:00.000+01:00,57,52,2,26.0,0.719,1.0,0.762,0.943,3,2025-11-19,1.874,36.08,6.24,12.694
561,0,2,336,0,2,11,1,2025-11-05T04:45:00.000+01:00,40,8,0,43.99,0.715,0.865,0.893,0.926,0,2025-11-07,0.759,32.4,5.1,7.738
562,2,0,410,0,1,6,3,2025-11-05T04:45:00.000+01:00,76,67,2,36.98,0.704,1.0,0.736,0.957,1,2025-11-08,1.671,34.33,6.93,10.94
563,1,0,1167,0,1,15,3,2025-11-05T04:45:00.000+01:00,79,72,1,29.01,1.0,1.0,1.096,0.977,0,2025-11-19,2.264,36.86,6.73,12.724
564,0,2,69,0,1,12,3,2025-11-05T05:00:00.000+01:00,75,70,3,43.21,0.901,1.0,0.952,0.946,3,2025-11-06,1.99,37.71,6.47,12.192
565,2,2,847,0,1,1,3,2025-11-05T05:00:00.000+01:00,53,47,1,37.1,0.909,1.0,0.946,0.961,3,2025-11-19,1.651,37.1,6.46,12.077
566,1,1,1695,0,1,0,3,2025-11-05T05:00:00.000+01:00,78,66,1,42.49,0.973,1.0,1.0,0.973,1,2025-11-06,2.387,37.35,6.12,13.053
567,0,2,1,0,1,1,3,2025-11-05T05:15:00.000+01:00,69,63,1,40.13,0.941,1.0,0.967,0.974,0,2025-11-07,2.761,36.98,6.96,11.362
568,2,2,134,0,1,12,3,2025-11-05T05:15:00.000+01:00,78,71,3,40.0,0.979,1.0,1.037,0.944,1,2025-11-08,1.378,34.23,6.05,11.928
569,1,0,144,0,0,6,1,2025-11-05T05:15:00.000+01:00,56,5,0,34.42,0.602,0.832,0.75,0.964,1,2025-11-07,1.006,34.64,4.8,6.429
570,0,2,1079,0,1,18,0,2025-11-05T05:30:00.000+01:00,70,72,2,36.96,0.869,1.0,0.896,0.97,1,2025-11-08,2.731,37.7,6.13,10.877
571,2,1,145,0,4,7,3,2025-11-05T05:30:00.000+01:00,78,25,1,44.7,0.879,0.871,1.058,0.954,0,2025-11-06,1.08,33.54,5.43,5.675
572,1,2,1919,0,1,16,3,2025-11-05T05:30:00.000+01:00,40,38,1,40.14,1.0,1.0,1.094,0.948,0,2025-11-07,1.964,40.69,6.77,12.744
573,0,2,70,0,1,18,3,2025-11-05T05:45:00.000+01:00,56,55,2,29.87,1.0,1.0,1.051,0.955,0,2025-11-06,1.744,36.12,6.42,12.583
574,2,0,379,0,4,14,3,2025-11-05T05:45:00.000+01:00,72,14,0,25.34,0.479,0.702,0.725,0.941,1,2025-11-07,1.628,33.54,4.8,5.069
575,1,1,1295,0,1,9,3,2025-11-05T05:45:00.000+01:00,56,50,4,29.23,0.815,1.0,0.893,0.913,1,2025-11-08,2.187,39.42,7.09,11.619
576,0,0,106,1,1,14,3,2025-11-05T06:00:00.000+01:00,53,52,2,44.81,0.928,1.0,0.973,0.954,0,2025-11-05,1.915,38.37,6.56,12.344
577,2,2,1330,1,1,8,3,2025-11-05T06:00:00.000+01:00,75,71,4,31.15,0.764,1.0,0.815,0.938,2,2025-11-05,2.376,38.85,6.4,12.996
578,1,1,1827,1,0,3,1,2025-11-05T06:00:00.000+01:00,60,7,0,30.15,0.47,0.538,0.874,1.0,1,2025-11-12,1.122,28.32,5.61,5.557
579,0,0,552,1,1,16,3,2025-11-05T06:15:00.000+01:00,54,51,3,29.85,0.723,1.0,0.774,0.935,0,2025-11-08,2.601,32.37,6.38,10.956
580,2,0,1926,1,1,11,3,2025-11-05T06:15:00.000+01:00,56,54,3,27.72,0.891,1.0,0.952,0.936,1,2025-11-06,2.316,37.96,6.79,11.523
581,1,0,158,1,3,18,2,2025-11-05T06:15:00.000+01:00,44,4,0,35.1,0.775,0.853,0.972,0.933,0,2025-11-06,1.965,33.68,5.21,4.318
582,0,2,1828,1,3,2,2,2025-11-05T06:30:00.000+01:00,76,2,0,40.81,0.329,0.426,0.805,0.959,3,2025-11-07,1.038,31.28,5.46,4.01
583,2,0,741,1,1,17,3,2025-11-05T06:30:00.000+01:00,40,36,1,35.2,0.721,1.0,0.752,0.959,3,2025-11-19,2.195,34.44,6.44,12.6
584,1,1,1532,1,1,13,3,2025-11-05T06:30:00.000+01:00,50,45,1,26.77,1.0,1.0,1.082,0.957,0,2025-11-12,1.802,34.14,6.45,13.011
585,0,0,389,1,1,4,3,2025-11-05T06:45:00.000+01:00,66,63,2,44.94,0.845,1.0,0.882,0.958,0,2025-11-19,2.205,36.92,6.26,12.597
586,2,2,1586,1,1,12,0,2025-11-05T06:45:00.000+01:00,51,51,2,39.77,0.977,1.0,1.022,0.955,1,2025-11-12,1.917,40.95,6.3,11.47
587,1,2,1774,1,1,12,3,2025-11-05T06:45:00.000+01:00,65,59,3,26.61,0.963,1.0,1.016,0.948,3,2025-11-07,2.311,37.7,6.31,11.815
588,0,1,1314,1,1,0,3,2025-11-05T07:00:00.000+01:00,71,68,3,25.76,0.716,1.0,0.759,0.944,2,2025-11-12,1.367,34.97,6.28,13.001
589,2,2,1843,1,0,16,1,2025-11-05T07:00:00.000+01:00,73,13,0,38.78,0.378,0.369,1.028,0.995,2,2025-11-08,1.1,37.99,4.96,5.923
590,1,1,178,1,1,0,0,2025-11-05T07:00:00.000+01:00,53,53,3,43.09,0.842,1.0,0.901,0.935,0,2025-11-06,2.056,34.67,6.5,11.915
591,0,1,1807,1,2,1,1,2025-11-05T07:15:00.000+01:00,56,20,0,41.5,0.323,0.393,0.824,0.999,1,2025-11-12,0.542,30.35,5.19,8.111
592,2,1,809,1,1,9,3,2025-11-05T07:15:00.000+01:00,63,61,0,32.91,1.0,1.0,1.027,0.99,1,2025-11-19,2.432,41.24,6.56,12.163
593,1,2,39,1,1,3,3,2025-11-05T07:15:00.000+01:00,41,36,1,39.91,0.742,1.0,0.782,0.949,1,2025-11-12,1.688,42.29,6.87,11.503
594,0,2,1127,1,1,12,3,2025-11-05T07:30:00.000+01:00,55,51,1,34.12,0.808,1.0,0.838,0.965,1,2025-11-19,2.172,39.47,6.68,12.465
595,2,0,628,1,3,13,2,2025-11-05T07:30:00.000+01:00,54,5,0,25.4,0.574,0.641,0.902,0.993,1,2025-11-07,0.778,31.46,5.08,4.02
596,1,0,1019,1,1,13,3,2025-11-05T07:30:00.000+01:00,58,54,1,39.69,0.964,1.0,0.999,0.965,1,2025-11-08,1.936,39.25,6.27,11.406
597,0,1,1861,1,1,9,3,2025-11-05T07:45:00.000+01:00,52,46,2,36.8,0.781,1.0,0.819,0.954,1,2025-11-12,2.454,35.99,6.24,10.884
598,2,2,1862,1,1,15,3,2025-11-05T07:45:00.000+01:00,64,58,4,35.88,0.916,1.0,0.996,0.92,1,2025-11-12,2.151,36.43,7.09,12.494
599,1,2,1331,1,1,2,3,2025-11-05T07:45:00.000+01:00,42,41,2,40.91,0.782,1.0,0.834,0.938,3,2025-11-12,2.199,38.47,6.53,10.808
600,0,2,1212,1,1,8,3,2025-11-05T08:00:00.000+01:00,40,39,1,35.87,0.854,1.0,0.887,0.962,0,2025-11-07,2.084,42.73,6.32,11.106
601,2,2,720,1,1,7,0,2025-11-05T08:00:00.000+01:00,74,76,3,32.84,0.789,1.0,0.824,0.957,1,2025-11-06,1.177,38.01,6.34,11.404
602,1,2,1570,1,2,13,1,2025-11-05T08:00:00.000+01:00,45,13,0,35.6,0.357,0.509,0.73,0.96,0,2025-11-12,1.326,32.52,5.09,8.633
603,0,2,1696,1,1,8,3,2025-11-05T08:15:00.000+01:00,45,41,2,29.21,1.0,1.0,1.08,0.949,2,2025-11-07,1.91,36.04,6.66,11.605
604,2,2,1508,1,0,15,1,2025-11-05T08:15:00.000+01:00,68,4,0,43.58,0.644,0.868,0.754,0.983,2,2025-11-08,0.829,28.8,4.79,5.607
605,1,1,692,1,1,16,3,2025-11-05T08:15:00.000+01:00,61,54,5,32.37,0.767,1.0,0.846,0.907,1,2025-11-12,1.862,40.38,6.97,13.103
606,0,0,1296,1,1,0,3,2025-11-05T08:30:00.000+01:00,47,44,2,44.67,0.805,1.0,0.857,0.94,0,2025-11-07,1.875,35.74,6.7,11.67
607,2,2,533,1,1,13,3,2025-11-05T08:30:00.000+01:00,65,64,4,30.18,0.672,1.0,0.728,0.923,1,2025-11-12,1.896,38.22,6.0,11.792
608,1,2,1173,1,1,18,0,2025-11-05T08:30:00.000+01:00,59,61,2,43.49,0.715,1.0,0.742,0.964,2,2025-11-07,1.826,38.08,6.67,11.73
609,0,2,1107,1,0,13,1,2025-11-05T08:45:00.000+01:00,78,12,0,28.31,0.681,0.938,0.738,0.983,1,2025-11-08,2.084,31.06,5.4,6.107
610,2,0,1927,1,1,8,0,2025-11-05T08:45:00.000+01:00,77,79,2,32.32,1.0,1.0,1.08,0.974,0,2025-11-06,1.817,35.49,6.71,11.59
611,1,0,1500,1,1,6,3,2025-11-05T08:45:00.000+01:00,48,46,2,40.66,0.722,1.0,0.758,0.953,3,2025-11-05,1.401,37.16,6.97,11.981
612,0,2,1168,1,0,18,1,2025-11-05T09:00:00.000+01:00,45,3,0,31.43,0.624,0.771,0.814,0.994,2,2025-11-06,1.199,32.22,5.02,6.303
613,2,1,290,1,1,12,3,2025-11-05T09:00:00.000+01:00,58,56,3,30.4,0.898,1.0,0.967,0.929,1,2025-11-07,1.512,37.95,6.44,12.735
614,1,2,518,1,1,10,3,2025-11-05T09:00:00.000+01:00,64,62,2,33.67,0.811,1.0,0.851,0.953,1,2025-11-08,2.236,37.54,6.19,12.497
615,0,2,534,1,1,16,0,2025-11-05T09:15:00.000+01:00,61,62,1,37.89,0.981,1.0,1.003,0.978,2,2025-11-08,2.337,35.11,6.66,11.083
616,2,0,1342,1,1,19,3,2025-11-05T09:15:00.000+01:00,73,68,2,27.13,1.0,1.0,1.088,0.958,0,2025-11-05,2.093,42.32,6.92,11.279
617,1,2,983,1,1,7,0,2025-11-05T09:15:00.000+01:00,73,73,6,38.54,0.879,1.0,0.97,0.906,1,2025-11-12,2.741,40.46,6.48,13.15
618,0,2,513,1,1,4,3,2025-11-05T09:30:00.000+01:00,71,68,1,33.65,1.0,1.0,1.027,0.981,1,2025-11-12,1.536,33.33,6.67,11.271
619,2,0,1159,1,1,16,0,2025-11-05T09:30:00.000+01:00,46,47,1,43.64,0.824,1.0,0.85,0.969,0,2025-11-08,1.345,34.31,6.94,10.994
620,1,2,229,1,1,1,0,2025-11-05T09:30:00.000+01:00,52,53,3,29.32,0.702,1.0,0.751,0.935,0,2025-11-12,2.168,34.84,7.28,11.55
621,0,0,899,1,1,8,0,2025-11-05T09:45:00.000+01:00,62,63,1,26.53,0.73,1.0,0.743,0.983,0,2025-11-12,2.291,39.15,6.05,11.988
622,2,2,1376,1,1,12,0,2025-11-05T09:45:00.000+01:00,59,59,4,32.43,0.725,1.0,0.784,0.926,1,2025-11-19,1.885,34.47,6.1,12.66
623,1,2,1863,1,1,12,3,2025-11-05T09:45:00.000+01:00,48,43,2,29.45,1.0,1.0,1.1,0.935,2,2025-11-05,2.283,35.73,6.28,11.212
624,0,1,1411,1,1,1,3,2025-11-05T10:00:00.000+01:00,75,69,3,28.47,1.0,1.0,1.065,0.951,1,2025-11-07,2.172,38.56,6.29,11.022
625,2,2,230,1,1,13,3,2025-11-05T10:00:00.000+01:00,75,72,4,31.0,0.742,1.0,0.786,0.944,3,2025-11-08,2.509,41.33,6.84,10.891
626,1,2,390,1,1,7,0,2025-11-05T10:00:00.000+01:00,54,55,3,29.45,0.867,1.0,0.918,0.944,1,2025-11-19,2.323,38.33,6.62,11.137
627,0,2,1219,1,0,14,1,2025-11-05T10:15:00.000+01:00,78,10,0,42.91,0.308,0.333,0.966,0.958,0,2025-11-05,1.687,31.83,5.16,5.486
